folder,top_left_long,top_left_lat,bottom_right_long,bottom_right_lat,activation_date,suggested_pre_date_from,suggested_pre_date_to,suggested_post_date_from,suggested_post_date_to,download_period_start,download_period_end,height,width,pre_date,post_date,situation_as_of,longitude,latitude,fold
EMSR214_05LELAVANDOU_02GRADING_MAP_v1_vector,6.104806205,43.342188,6.45222345,43.06539283,24/07/2017,2017-06-13,2017-07-14,2017-07-24,2017-08-24,24/06/2017,24/08/2017,522,512,14/07/2017 10:30,18/08/2017 10:34,28/07/2017,6.2785148275000005,43.203790415,purple
EMSR207_04AVELAR_02GRADING_MAP_v2_vector,-8.499468069,40.02611667,-8.30737403,39.90466208,17/06/2017,2017-05-07,2017-06-07,2017-06-17,2017-07-18,17/05/2017,17/07/2017,512,615,,,20/06/2017,-8.4034210495,39.965389375,coral
EMSR207_08CERNACHEDOBONJARDIM_02GRADING_MAP_v2_vector,-8.307666772000001,39.90466208,-8.116086631,39.7835143,17/06/2017,2017-05-07,2017-06-07,2017-06-17,2017-07-18,17/05/2017,17/07/2017,512,613,,,20/06/2017,-8.2118767015,39.84408819,coral
EMSR209_01MOGUER_02GRADING_MAP_v2_vector,-6.8476395760000015,37.29196604,-6.702477285,37.16677518,24/06/2017,2017-05-14,2017-06-14,2017-06-24,2017-07-25,24/05/2017,24/07/2017,579,512,01/06/2017 11:12,01/07/2017 11:17,,-6.775058430500001,37.22937061,pink
EMSR298_02HAMMARSTRAND_02GRADING_MAP_v1_vector,16.361547,63.140440500000004,16.4473814,63.09967388,16/07/2018,2018-06-05,2018-07-06,2018-07-16,2018-08-16,16/06/2018,16/08/2018,561,512,14/07/2018 10:30,27/07/2018 10:40,,16.4044642,63.12005719,grey
EMSR250_04CORTES_02GRADING_MAP_v2_vector,-8.542607559,42.19890510000001,-8.271695929,41.98116658,15/10/2017,2017-09-04,2017-10-05,2017-10-15,2017-11-15,15/09/2017,15/11/2017,560,512,,,,-8.407151744,42.09003584000001,coral
EMSR214_04MARSEILLE_02GRADING_MAP_v1_vector,5.180267429,43.45874415,5.512509636,43.19699627,24/07/2017,2017-06-13,2017-07-14,2017-07-24,2017-08-24,24/06/2017,24/08/2017,585,512,,,28/07/2017,5.3463885325,43.32787021,purple
EMSR227_01ENCINEDO_02GRADING_MAP_v2_vector,-6.670423382,42.33247404,-6.5434288679999995,42.25369489,22/08/2017,2017-07-12,2017-08-12,2017-08-22,2017-09-22,22/07/2017,22/09/2017,512,579,13/08/2017 11:24,02/09/2017 11:24,01/09/2017,-6.606926125,42.293084465,cyan
EMSR207_10ORVALHO_02GRADING_MAP_v2_vector,-7.844417854,40.05787932,-7.648726839,39.93498424,17/06/2017,2017-05-07,2017-06-07,2017-06-17,2017-07-18,17/05/2017,17/07/2017,512,609,,,19/06/2017,-7.7465723465,39.99643178,coral
EMSR213_01VESUVIO_02GRADING_MAP_v2_vector,14.36581091,40.8514438,14.47203367,40.76435711,11/07/2017,2017-04-30,2017-07-01,2017-07-11,2017-08-11,11/06/2017,11/08/2017,545,512,,,14/07/2017,14.41892229,40.807900455,lime
EMSR254_02SILVAN_02GRADING_MAP_v2_vector,-6.7170000000000005,42.379,-6.5760000000000005,42.292,15/10/2017,2017-09-04,2017-10-05,2017-10-15,2017-11-15,15/09/2017,15/11/2017,512,582,12/10/2017 11:27,06/11/2017 11:22,,-6.6465000000000005,42.3355,cyan
EMSR290_03MANSBO_02GRADING_MAP_v1_vector,16.26041886,59.8533429,16.32135939,59.82821865,03/06/2018,2018-04-23,2018-05-24,2018-06-03,2018-07-04,03/05/2018,03/07/2018,512,601,04/06/2018 10:30,08/06/2018 10:10,,16.290889125,59.840780775,grey
EMSR298_06GROTINGEN_02GRADING_MAP_v1_vector,15.35710389,62.91509929,15.57401521,62.83394381,16/07/2018,2018-06-05,2018-07-06,2018-07-16,2018-08-16,16/06/2018,16/08/2018,512,616,17/07/2018 10:42,27/07/2018 10:40,,15.46555955,62.87452155,grey
